countyname,state,COST ,DEMC ,DEMO ,DEMP ,HCPP ,HMO ,PACE ,PFFS ,PPO ,PSO 
BULLITT ,KY,0,0,0,1,2,3,0,2,1,0
BULLOCH ,GA,0,0,0,0,0,4,0,1,1,0
BULLOCK ,AL,0,0,0,0,0,6,0,1,0,0
BUNCOMBE ,NC,3,0,0,0,5,14,0,4,0,1
BUREAU ,IL,1,0,1,1,2,0,0,2,0,0
BURKE ,GA,0,0,0,0,0,3,0,2,0,0
BURKE ,NC,0,0,1,0,1,4,0,3,0,0
BURKE ,ND,0,0,0,0,0,1,0,1,0,0
BURLEIGH ,ND,1,0,1,0,0,2,0,1,0,0
BURLESON ,TX,1,0,0,0,2,4,0,1,1,1
BURLINGTON ,NJ,1,0,1,3,5,32,1,1,4,1
BURNET ,TX,1,1,0,0,2,7,0,1,1,0
BURNETT ,WI,2,0,1,0,1,5,0,3,0,0
BURT ,NE,0,0,0,0,1,2,0,1,0,0
BUTLER ,AL,0,0,0,0,0,2,0,0,1,0
BUTLER ,IA,1,0,0,0,0,1,0,1,0,0
BUTLER ,KS,0,0,0,0,4,1,1,2,0,0
BUTLER ,KY,0,0,0,0,1,0,0,1,0,0
BUTLER ,MO,0,0,0,0,3,3,0,1,0,0
BUTLER ,NE,0,0,0,0,0,0,0,3,0,0
BUTLER ,OH,0,1,2,2,3,15,1,1,2,0
BUTLER ,PA,2,0,0,3,1,14,0,1,2,0
BUTTE ,CA,3,1,3,1,2,13,1,3,0,0
BUTTE ,ID,0,0,0,0,1,0,0,1,0,0
BUTTE ,SD,0,0,0,0,0,2,0,2,0,0
BUTTS ,GA,0,0,0,0,0,2,0,2,1,0
CABARRUS ,NC,1,1,0,1,1,9,0,1,1,0
CABELL ,WV,0,0,0,0,2,5,0,1,2,0
CACHE ,UT,1,0,1,0,3,6,1,3,0,0
CADDO ,LA,1,1,1,0,4,6,0,2,0,0
CADDO ,OK,0,0,0,0,1,4,0,1,0,0
CALAVERAS ,CA,3,1,0,0,4,11,0,0,0,0
CALCASIEU ,LA,0,0,0,1,2,10,0,3,0,1
CALDWELL ,KY,1,0,0,0,2,2,0,1,0,0
CALDWELL ,LA,0,0,0,0,1,2,0,0,0,0
CALDWELL ,MO,0,0,0,0,1,3,0,1,0,0
CALDWELL ,NC,0,0,0,0,2,6,0,3,0,0
CALDWELL ,TX,1,1,0,0,0,4,0,1,1,0
CALEDONIA ,VT,0,0,0,0,0,2,1,2,0,0
CALHOUN ,AL,0,0,0,0,2,8,0,0,2,0
CALHOUN ,AR,0,0,0,0,1,1,0,1,0,0
CALHOUN ,FL,1,0,0,0,1,2,0,0,0,0
CALHOUN ,GA,0,0,0,0,0,1,0,1,0,0
CALHOUN ,IA,0,0,0,0,1,1,0,2,0,0
CALHOUN ,IL,0,0,0,0,1,0,0,1,0,0
CALHOUN ,MI,0,0,0,0,4,8,0,3,1,0
CALHOUN ,MS,0,0,0,0,1,2,0,1,0,0
CALHOUN ,SC,0,0,0,0,2,2,1,1,0,0
CALHOUN ,TX,1,0,0,0,0,3,0,1,0,0
CALHOUN ,WV,0,0,0,0,1,0,0,0,0,0
CALLAHAN ,TX,0,1,0,0,1,3,0,1,0,0
CALLAWAY ,MO,0,0,0,0,5,5,0,1,0,0
CALLOWAY ,KY,0,0,0,0,4,4,0,0,1,0
CALUMET ,WI,1,0,0,0,0,1,0,3,1,0
CALVERT ,MD,2,1,0,1,1,8,1,1,1,0
CAMBRIA ,PA,1,0,0,2,1,9,1,0,1,0
CAMDEN ,GA,0,0,0,0,0,7,0,3,0,0
CAMDEN ,MO,0,0,1,0,7,11,0,2,1,0
CAMDEN ,NC,0,1,0,0,0,0,0,1,0,0
CAMDEN ,NJ,0,1,1,2,3,30,1,0,3,0
CAMERON ,LA,0,0,0,0,0,1,0,1,0,0
CAMERON ,PA,0,0,0,0,1,0,0,2,1,0
CAMERON ,TX,7,2,0,0,6,20,0,2,0,2
CAMP ,TX,0,0,0,0,1,0,0,2,0,0
CAMPBELL ,KY,0,0,0,1,3,4,0,2,2,0
CAMPBELL ,SD,0,0,0,0,0,0,0,1,0,0
CAMPBELL ,TN,0,0,0,0,1,6,0,2,0,0
CAMPBELL ,VA,0,0,0,0,2,2,0,4,0,0
CAMPBELL ,WY,1,0,0,0,0,4,0,1,0,0
CANADIAN ,OK,1,0,0,0,2,11,0,1,1,0
CANDLER ,GA,0,0,0,0,0,0,0,2,0,0
CANNON ,TN,0,0,0,2,0,2,0,1,0,0
CANYON ,ID,2,0,3,0,3,17,0,2,4,1
CAPE GIRARDEAU ,MO,0,0,0,0,3,7,0,0,0,0
CAPE MAY ,NJ,1,0,0,3,3,20,0,0,2,0
CARBON ,MT,0,0,0,0,2,2,0,1,0,0
CARBON ,PA,0,0,0,1,1,10,0,2,2,0
CARBON ,UT,1,0,0,0,2,1,0,1,0,0
CARBON ,WY,1,0,0,0,3,2,0,0,1,0
CARIBOU ,ID,0,0,0,0,1,4,0,1,1,0
CARLISLE ,KY,0,0,0,0,1,0,0,0,0,0
CARLTON ,MN,3,0,3,0,0,4,0,3,0,0
CAROLINE ,MD,1,0,0,1,0,2,1,0,1,0
CAROLINE ,VA,1,0,0,0,2,2,0,3,0,0
CARROLL ,AR,0,0,0,0,2,4,0,3,0,0
CARROLL ,GA,1,1,0,0,2,7,0,3,1,0
CARROLL ,IA,1,0,0,0,0,1,0,4,0,0
CARROLL ,IL,3,0,0,0,0,1,0,3,0,0
CARROLL ,IN,1,0,0,0,1,2,0,0,0,0
CARROLL ,KY,0,0,0,0,0,0,0,1,0,0
CARROLL ,MD,2,0,0,2,2,9,0,0,4,0
CARROLL ,MO,0,0,1,0,3,1,0,1,0,0
CARROLL ,MS,0,0,0,0,1,1,0,0,0,0
CARROLL ,NH,0,0,0,1,1,9,0,1,1,0
CARROLL ,OH,0,0,0,2,2,8,0,2,1,0
CARROLL ,TN,0,0,0,0,3,2,0,2,0,0
CARROLL ,VA,0,0,0,0,1,3,0,4,0,0
CARSON ,TX,0,1,0,0,1,0,0,0,0,0
CARSON CITY ,NV,2,0,1,0,2,10,0,1,1,0
CARTER ,KY,0,0,0,0,2,1,0,1,0,0
CARTER ,MO,0,0,0,0,1,0,0,1,0,0
CARTER ,OK,0,0,0,0,1,8,0,0,0,0
CARTER ,TN,1,0,0,1,2,5,0,2,0,0
CARTERET ,NC,3,0,0,0,2,10,0,1,0,0
CARVER ,MN,4,0,5,0,0,5,0,3,0,0
CASCADE ,MT,0,0,1,0,3,4,0,2,1,0
CASEY ,KY,0,0,0,0,1,0,0,3,0,0
CASS ,IA,0,0,0,0,1,2,0,1,0,0
CASS ,IL,0,0,0,1,2,2,0,3,0,0
CASS ,IN,2,0,0,0,2,2,0,3,0,0
CASS ,MI,0,0,0,0,1,2,0,5,1,0
CASS ,MN,3,0,2,0,1,8,0,3,1,0
CASS ,MO,0,0,0,1,4,9,0,2,2,0
CASS ,ND,2,0,3,0,0,7,0,2,0,0
CASS ,NE,0,0,0,0,1,2,0,3,0,0
CASS ,TX,0,1,0,0,2,3,0,3,0,1
CASSIA ,ID,0,0,0,0,3,4,0,2,0,0
CASWELL ,NC,0,0,0,0,1,2,0,3,1,0
CATAHOULA ,LA,0,1,0,0,0,2,0,0,0,0
CATAWBA ,NC,0,0,1,0,1,10,0,4,1,0
CATOOSA ,GA,0,0,0,0,1,6,0,3,0,0
CATRON ,NM,0,0,0,0,1,4,0,0,1,0
CATTARAUGUS ,NY,0,0,0,1,3,11,0,1,2,0
CAVALIER ,ND,0,0,0,0,0,2,0,1,0,0
CAYUGA ,NY,1,0,1,0,0,7,1,1,1,0
CECIL ,MD,1,0,0,2,1,5,0,0,1,0
CEDAR ,IA,1,0,0,0,0,1,0,3,0,0
CEDAR ,MO,0,0,0,0,2,5,0,1,1,0
CEDAR ,NE,0,0,0,0,1,0,0,2,0,0
CENTRE ,PA,1,1,0,1,1,14,0,4,2,0
CERRO GORDO ,IA,1,0,0,1,0,1,0,5,0,1
CHAFFEE ,CO,1,0,0,0,5,5,0,1,1,0
CHAMBERS ,AL,0,0,0,0,1,6,0,1,0,0
CHAMBERS ,TX,0,1,0,0,1,4,0,1,1,1
CHAMPAIGN ,IL,2,0,0,0,3,14,0,2,1,0
CHAMPAIGN ,OH,0,0,0,0,1,4,0,2,0,0
CHARITON ,MO,0,0,0,0,2,2,0,0,0,0
CHARLES ,MD,1,0,1,1,1,13,0,0,2,0
CHARLES CITY ,VA,0,0,0,0,1,0,0,1,1,0
CHARLESTON ,SC,2,0,0,0,3,21,0,3,0,0
CHARLEVOIX ,MI,0,0,1,0,0,5,0,2,0,0
CHARLOTTE ,FL,6,1,2,5,6,41,0,2,7,0
CHARLOTTE ,VA,0,0,0,0,0,2,0,2,0,0
CHARLOTTESVILLE CITY ,VA,1,0,0,0,3,3,0,0,1,0
CHARLTON ,GA,0,0,0,0,0,3,0,1,0,0
CHASE ,KS,0,0,0,0,1,0,0,0,1,0
CHASE ,NE,0,0,0,0,1,0,0,1,0,0
CHATHAM ,GA,1,0,3,1,4,15,0,3,3,1
CHATHAM ,NC,0,0,0,1,3,8,0,3,1,0
CHATTAHOOCHEE ,GA,0,0,0,0,0,0,0,2,0,0
CHATTOOGA ,GA,0,0,0,0,0,0,0,1,0,0
CHAUTAUQUA ,KS,0,0,0,0,2,0,1,0,0,0
CHAUTAUQUA ,NY,1,1,0,1,2,18,0,2,3,0
CHAVES ,NM,0,0,2,0,3,10,0,1,1,0
